CVE,funcname,succeed,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2016-0799,_dopr,5,,,,,,,2_0_10,6
CVE-2016-2105,EVP_EncodeUpdate,5,,,,,,,pre5,6
CVE-2016-2106,EVP_EncryptUpdate,0,,,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_1r;OpenSSL_1_0_2h;OpenSSL_1_0_1t;pre5,,6
CVE-2016-2107,aesni_cbc_hmac_sha256_cipher,2,,,,,,,OpenSSL_1_0_1s;OpenSSL_1_0_1r;OpenSSL_1_0_1t;pre5,6
CVE-2016-2107,aesni_cbc_hmac_sha1_cipher,5,,,,,,,pre5,6
CVE-2016-2108,ASN1_TYPE_cmp,0,,,,,,OpenSSL_0_9_8zh;OpenSSL_1_0_2h;OpenSSL_1_0_1t,OpenSSL_1_0_0t;OpenSSL_1_0_0s;pre5,6
CVE-2016-2108,asn1_ex_c2i,2,OpenSSL_0_9_8zh,,,,,,OpenSSL_1_0_0t;OpenSSL_1_0_0s;pre5,6
CVE-2016-2108,asn1_ex_i2c,3,,,,,,,OpenSSL_1_0_0t;OpenSSL_1_0_0s;pre5,6
CVE-2016-2109,asn1_d2i_read_bio,0,,,,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_1r;pre5;OpenSSL_1_0_2h;OpenSSL_1_0_1t,6
CVE-2016-2109,ASN1_item_d2i_fp,0,,,,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_1r;pre5;OpenSSL_1_0_2h;OpenSSL_1_0_1t,6
CVE-2016-2176,X509_NAME_oneline,2,,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_1r;pre5,,,6
CVE-2016-2177,tls1_process_ticket,4,,,,,,,pre6;OpenSSL_1_1_0,6
CVE-2016-2177,ssl_scan_clienthello_tlsext,1,,,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1s;pre6;OpenSSL_1_1_0;OpenSSL_1_0_1u,6
CVE-2016-2177,ssl_scan_clienthello_custom_tlsext,1,,,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1s;pre6;OpenSSL_1_1_0;OpenSSL_1_0_1u,6
CVE-2016-2177,ssl3_get_client_hello,4,,,,,,,pre6;OpenSSL_1_1_0,6
CVE-2016-2177,ssl_get_prev_session,4,,,,,,,pre6;OpenSSL_1_1_0,6
CVE-2016-2177,ssl_check_for_safari,4,,,,,,,pre6;OpenSSL_1_1_0,6
CVE-2016-2177,ssl_scan_serverhello_tlsext,1,,,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1s;pre6;OpenSSL_1_1_0;OpenSSL_1_0_1u,6
CVE-2016-2842,fmtint,3,,,,,OpenSSL_1_0_1r;OpenSSL_1_0_1s,,2_0_10,6
CVE-2016-2842,BIO_vsnprintf,5,,,,,,,2_0_10,6
CVE-2016-2842,roundv,0,,,,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_2e;OpenSSL_1_0_1s;OpenSSL_1_0_2g,2_0_10,6
CVE-2016-2842,BIO_vprintf,5,,,,,,,2_0_10,6
CVE-2016-2842,fmtfp,5,,,,,,,2_0_10,6
CVE-2016-2842,doapr_outch,5,,,,,,,2_0_10,6
CVE-2016-2842,_dopr,5,,,,,,,2_0_10,6
CVE-2016-6304,ssl_parse_clienthello_tlsext,2,,,,,OpenSSL_1_0_2h;OpenSSL_1_0_2i,,OpenSSL_1_1_0;OpenSSL_1_1_0a,6
CVE-2016-6306,ssl3_get_server_certificate,5,,,,,,,OpenSSL_1_1_0a,6
CVE-2016-6306,ssl3_get_certificate_request,4,,OpenSSL_1_0_2i,,,,,OpenSSL_1_1_0a,6
CVE-2016-6306,ssl3_get_client_certificate,5,,,,,,,OpenSSL_1_1_0a,6
CVE-2016-7052,get_crl_sk,2,,,,,,,OpenSSL_1_1_0b;OpenSSL_1_1_0a,4
CVE-2018-0732,generate_key,2,,,,,,,OpenSSL_1_1_0h;pre8;pre7;pre6,6
CVE-2018-0737,rsa_builtin_keygen,0,,,,,,,OpenSSL_1_1_0h;OpenSSL_1_0_2o;OpenSSL_1_0_2n;pre5;pre4;pre6,6
CVE-2019-1543,chacha20_poly1305_ctrl,0,,,,,,,OpenSSL_1_1_1b;OpenSSL_1_1_1a;OpenSSL_1_1_0j;OpenSSL_1_1_0k;OpenSSL_1_0_2s;OpenSSL_1_1_1c,6
CVE-2019-1559,ssl3_read_bytes,4,,,,,,,OpenSSL_1_1_1b;OpenSSL_1_1_0k,6
CVE-2019-1559,ssl3_send_alert,4,,,,,,,OpenSSL_1_1_1b;OpenSSL_1_1_0k,6
CVE-2019-1559,dtls1_read_bytes,4,,,,,,,OpenSSL_1_1_1b;OpenSSL_1_1_0k,6
CVE-2019-1563,pkcs7_decrypt_rinfo,0,,,,,,,OpenSSL_1_0_2s;OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2t;OpenSSL_1_1_1d;OpenSSL_1_1_0l,6
CVE-2019-1563,CMS_decrypt,3,,OpenSSL_1_0_2t;OpenSSL_1_1_1d;OpenSSL_1_1_0l,,,,,,6
CVE-2019-1563,cms_RecipientInfo_ktri_decrypt,0,,,,,,,OpenSSL_1_0_2s;OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2t;OpenSSL_1_1_1d;OpenSSL_1_1_0l,6
CVE-2019-1563,pkcs7_encode_rinfo,0,,,,,,,OpenSSL_1_0_2s;OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2t;OpenSSL_1_1_1d;OpenSSL_1_1_0l,6
CVE-2019-1563,PKCS7_dataDecode,0,,,,,,,OpenSSL_1_0_2s;OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2t;OpenSSL_1_1_1d;OpenSSL_1_1_0l,6
CVE-2020-1967,tls1_check_sig_alg,0,,,,,,,OpenSSL_1_1_1f;OpenSSL_1_1_1e;OpenSSL_1_1_1d;OpenSSL_1_1_1g;alpha1;alpha2,6
CVE-2021-23840,evp_EncryptDecryptUpdate,0,,,,,,,OpenSSL_1_1_1i;OpenSSL_1_1_1h;OpenSSL_1_1_1g;OpenSSL_1_1_1j;alpha12;alpha11,6
CVE-2021-23840,EVP_DecryptUpdate,0,,,,,OpenSSL_1_1_1i;OpenSSL_1_1_1h;OpenSSL_1_1_1g;OpenSSL_1_1_1j;alpha12;alpha11,,,6
CVE-2021-4044,tls_post_process_server_certificate,0,,,,,,,3.0.0;OpenSSL_1_0_1u;OpenSSL_1_1_0;3.0.1;OpenSSL_1_1_1m;OpenSSL_1_1_1n,6
CVE-2021-4044,ssl_verify_cert_chain,0,,,,,,,3.0.0;OpenSSL_1_0_1u;OpenSSL_1_1_0;3.0.1;OpenSSL_1_1_1m;OpenSSL_1_1_1n,6
CVE-2021-4044,ssl_cert_set_cert_cb,0,,,,,,,3.0.0;OpenSSL_1_0_1u;OpenSSL_1_1_0;3.0.1;OpenSSL_1_1_1m;OpenSSL_1_1_1n,6
CVE-2022-1343,ocsp_verify_signer,0,,,,,,,3.0.2;3.0.1;3.0.0;OpenSSL_1_1_1o;3.0.3;OpenSSL_1_1_1p,6
CVE-2022-1473,OPENSSL_LH_flush,0,,,,,,,3.0.2;3.0.1;3.0.0;OpenSSL_1_1_1o;3.0.3;OpenSSL_1_1_1p,6
CVE-2022-3358,evp_md_init_internal,0,,,,,,,3.0.5;3.0.4;3.0.3;OpenSSL_1_1_1r;3.0.6;OpenSSL_1_1_1s,6
CVE-2022-3358,evp_cipher_init_internal,0,,,,,,,3.0.5;3.0.4;3.0.3;OpenSSL_1_1_1r;3.0.6;OpenSSL_1_1_1s,6
CVE-2022-3602,ossl_punycode_decode,0,,,,,,,3.0.6;3.0.5;3.0.4;OpenSSL_1_1_1s;3.0.7;alpha1,6
CVE-2022-3786,ossl_punycode_decode,0,,,,,,,3.0.6;3.0.5;3.0.4;OpenSSL_1_1_1s;3.0.7;alpha1,6
CVE-2022-3786,ossl_a2ulabel,0,,,,,,,3.0.6;3.0.5;3.0.4;OpenSSL_1_1_1s;3.0.7;alpha1,6
CVE-2022-3996,ossl_policy_cache_set_mapping,0,,,,,,,3.0.7;3.0.6;3.0.5;alpha1;beta1;3.0.8,6
CVE-2023-0215,ndef_suffix,0,,,,,,,OpenSSL_1_1_1s;3.0.7;OpenSSL_1_1_1r;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-0215,BIO_new_NDEF,0,,,,,,,OpenSSL_1_1_1s;3.0.7;OpenSSL_1_1_1r;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-0401,PKCS7_dataDecode,0,,,,,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-0401,pkcs7_bio_add_digest,0,,,,,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-2650,OBJ_obj2txt,0,,,,,,3.1.0;3.0.8;3.0.9;3.1.1,OpenSSL_1_1_1t;OpenSSL_1_1_1u,6
CVE-2023-2975,siv_cipher,0,,,,,,,3.0.9;3.1.1;3.1.0;3.1.2;OpenSSL_1_1_1v;3.0.10,6
CVE-2024-0727,newpass_p12,5,,,,,,,3.0.12,6
CVE-2024-0727,SMIME_write_PKCS7,5,,,,,3.0.12,,,6
CVE-2024-0727,pkcs12_gen_mac,5,,,,,,,3.0.12,6
CVE-2024-0727,PKCS12_unpack_p7encdata,6,,,,,,,,6
CVE-2024-0727,PKCS12_unpack_authsafes,2,,,,,3.0.12;3.1.4;3.0.13;3.1.5,,,6
